lsoa11,ah3h,ah3g,ah3e,ah3r,ah3ahah
E01000194,-0.769304399,0.784311106,0.85685494,0.889052666,33.57044384
E01000195,0.089003226,0.466964363,0.835834026,-0.053604769,25.74958549
E01000196,-0.965163232,0.983691817,1.340750719,1.187746633,44.29507276
E01000197,-0.605434042,0.56086051,1.3875131,0.734569788,34.60755885
E01000198,-0.27943447,0.534843624,1.291651044,0.112276547,29.82897802
E01000199,-0.410349336,-0.104771173,1.308477231,0.356505703,25.39412246
E01000200,-0.522808574,0.329652729,1.32714847,0.548941709,30.07856474
E01000201,-0.434832878,0.402153584,1.325640218,0.177983986,28.53796408
E01000202,-0.761245682,0.655063211,1.340750719,0.476729262,32.93530032
E01000203,-0.289362965,0.639215341,1.348847551,0.15125415,32.06431479
E01000204,-0.672219789,0.103640273,1.259573546,1.247805817,33.14370683
E01000205,-0.300518544,-0.098780523,1.325041094,0.183595197,24.92825076
E01000206,0.131231537,-0.605319284,1.253163849,-0.042080595,23.19479692
E01000207,-0.706669583,0.063597283,1.324173617,0.381398894,25.99053633
E01000208,-0.39899745,-0.014289474,1.192770329,0.037130142,22.76123706
E01000209,-0.529811161,-0.178311599,1.35665841,0.447623637,25.77919515
E01000210,-1.09030384,0.074609477,1.303227143,0.503887199,26.04046735
E01000211,-0.827016053,1.131179157,1.35665841,0.827072413,44.14100878
E01000212,-0.894920322,-0.058322335,1.389603987,0.595405663,27.11407262
E01000213,-0.314664653,-0.036876635,1.315091075,0.102283854,24.6493059
E01000214,-0.755301167,-0.09013183,1.358339702,0.57272972,26.72633413
E01000215,-0.952524139,0.758817313,1.54347442,0.840514369,39.4293784
E01000216,-1.374837062,1.032735461,1.398442901,0.829989629,42.07457949
E01000217,-1.072169311,1.075008028,1.395410566,0.83590042,43.21515478
E01000218,-1.503221147,0.980957375,1.500487419,0.854817739,42.35038968
E01000219,-0.608593054,0.79462236,1.535403733,0.41007383,37.1574204
E01000220,-1.304826601,0.965630623,1.441493307,0.704426417,40.22506783
E01000221,0.156715814,0.16860528,1.537699119,-0.347637821,29.11583955
