2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
Bradford 003D,E01010771,546,100,15,2.7,27,4.9,43,7.9,122,22.3,26,4.8,3,0.5,6,1.1,2,0.4,254,46.5,48,8.8
Bradford 005A,E01010770,834,100,19,2.3,45,5.4,76,9.1,171,20.5,20,2.4,5,0.6,4,0.5,5,0.6,417,50,72,8.6
Bradford 005B,E01010772,562,100,10,1.8,29,5.2,59,10.5,106,18.9,13,2.3,6,1.1,0,0,4,0.7,286,50.9,49,8.7
Bradford 005C,E01010773,786,100,22,2.8,44,5.6,107,13.6,147,18.7,21,2.7,3,0.4,1,0.1,7,0.9,355,45.2,79,10.1
Bradford 005D,E01010774,741,100,28,3.8,61,8.2,100,13.5,122,16.5,17,2.3,4,0.5,6,0.8,6,0.8,326,44,71,9.6
Bradford 006A,E01010706,776,100,20,2.6,76,9.8,144,18.6,87,11.2,36,4.6,4,0.5,5,0.6,3,0.4,321,41.4,80,10.3
Bradford 006B,E01010707,942,100,70,7.4,104,11,128,13.6,132,14,43,4.6,4,0.4,4,0.4,6,0.6,318,33.8,133,14.1
Bradford 006C,E01010708,738,100,128,17.3,79,10.7,89,12.1,106,14.4,30,4.1,10,1.4,5,0.7,3,0.4,173,23.4,115,15.6
Bradford 006D,E01010709,1294,100,86,6.6,162,12.5,214,16.5,207,16,56,4.3,8,0.6,13,1,15,1.2,384,29.7,149,11.5
Bradford 007A,E01010719,575,100,177,30.8,63,11,31,5.4,92,16,24,4.2,2,0.3,3,0.5,10,1.7,72,12.5,101,17.6
Bradford 007B,E01010727,800,100,99,12.4,128,16,80,10,116,14.5,36,4.5,7,0.9,5,0.6,9,1.1,215,26.9,105,13.1
Bradford 007C,E01010728,633,100,179,28.3,54,8.5,45,7.1,108,17.1,38,6,6,0.9,4,0.6,8,1.3,97,15.3,94,14.8
Bradford 007D,E01010729,624,100,118,18.9,73,11.7,47,7.5,89,14.3,27,4.3,6,1,10,1.6,6,1,150,24,98,15.7
Bradford 008A,E01010700,543,100,136,25,42,7.7,50,9.2,87,16,27,5,9,1.7,13,2.4,8,1.5,82,15.1,89,16.4
Bradford 008B,E01010701,462,100,142,30.7,34,7.4,46,10,65,14.1,20,4.3,7,1.5,2,0.4,9,1.9,59,12.8,78,16.9
Bradford 008C,E01010702,670,100,178,26.6,62,9.3,43,6.4,109,16.3,28,4.2,5,0.7,4,0.6,25,3.7,84,12.5,132,19.7
Bradford 008D,E01010703,724,100,118,16.3,64,8.8,119,16.4,82,11.3,30,4.1,6,0.8,4,0.6,6,0.8,155,21.4,140,19.3
Bradford 008E,E01010704,631,100,132,20.9,52,8.2,126,20,72,11.4,22,3.5,3,0.5,3,0.5,2,0.3,105,16.6,114,18.1
Bradford 008F,E01010705,782,100,138,17.6,80,10.2,113,14.5,90,11.5,21,2.7,1,0.1,3,0.4,5,0.6,212,27.1,119,15.2
Bradford 008G,E01010710,723,100,234,32.4,61,8.4,64,8.9,104,14.4,32,4.4,7,1,5,0.7,9,1.2,77,10.7,130,18
Bradford 009A,E01010712,545,100,161,29.5,44,8.1,58,10.6,70,12.8,16,2.9,4,0.7,18,3.3,15,2.8,65,11.9,94,17.2
Bradford 009B,E01010720,540,100,138,25.6,98,18.1,55,10.2,95,17.6,14,2.6,3,0.6,1,0.2,10,1.9,44,8.1,82,15.2
Bradford 009C,E01010721,819,100,148,18.1,162,19.8,73,8.9,132,16.1,44,5.4,10,1.2,8,1,12,1.5,136,16.6,94,11.5
Bradford 009D,E01010723,511,100,156,30.5,45,8.8,40,7.8,74,14.5,25,4.9,3,0.6,0,0,3,0.6,47,9.2,118,23.1
Bradford 009E,E01010724,551,100,132,24,92,16.7,29,5.3,74,13.4,12,2.2,8,1.5,4,0.7,4,0.7,95,17.2,101,18.3
Bradford 009F,E01010725,699,100,175,25,97,13.9,57,8.2,105,15,20,2.9,10,1.4,3,0.4,1,0.1,107,15.3,124,17.7
Bradford 010A,E01010579,680,100,33,4.9,62,9.1,125,18.4,65,9.6,23,3.4,1,0.1,0,0,8,1.2,287,42.2,76,11.2
Bradford 010B,E01010580,1199,100,71,5.9,91,7.6,236,19.7,141,11.8,27,2.3,4,0.3,4,0.3,7,0.6,497,41.5,121,10.1
Bradford 010C,E01010764,761,100,36,4.7,65,8.5,143,18.8,87,11.4,27,3.5,5,0.7,6,0.8,9,1.2,305,40.1,78,10.2
Bradford 010D,E01010765,1092,100,97,8.9,135,12.4,207,19,116,10.6,56,5.1,5,0.5,3,0.3,7,0.6,334,30.6,132,12.1
Bradford 010E,E01010766,574,100,26,4.5,59,10.3,107,18.6,74,12.9,16,2.8,0,0,1,0.2,2,0.3,228,39.7,61,10.6
Bradford 011A,E01010711,516,100,104,20.2,25,4.8,125,24.2,98,19,29,5.6,6,1.2,10,1.9,1,0.2,48,9.3,70,13.6
Bradford 011B,E01010713,588,100,144,24.5,63,10.7,83,14.1,79,13.4,19,3.2,6,1,5,0.9,2,0.3,95,16.2,92,15.6
Bradford 011C,E01010714,641,100,134,20.9,81,12.6,100,15.6,93,14.5,22,3.4,4,0.6,2,0.3,2,0.3,93,14.5,110,17.2
Bradford 011D,E01010716,890,100,104,11.7,151,17,142,16,125,14,20,2.2,8,0.9,6,0.7,7,0.8,175,19.7,152,17.1
Bradford 012A,E01010715,451,100,74,16.4,69,15.3,75,16.6,88,19.5,16,3.5,8,1.8,1,0.2,5,1.1,64,14.2,51,11.3
Bradford 012B,E01010717,719,100,155,21.6,134,18.6,111,15.4,112,15.6,24,3.3,5,0.7,2,0.3,9,1.3,80,11.1,87,12.1
Bradford 012C,E01010718,564,100,48,8.5,139,24.6,95,16.8,75,13.3,13,2.3,3,0.5,4,0.7,6,1.1,89,15.8,92,16.3
Bradford 012D,E01010726,680,100,85,12.5,119,17.5,47,6.9,129,19,28,4.1,8,1.2,6,0.9,1,0.1,158,23.2,99,14.6
Bradford 012E,E01010859,854,100,96,11.2,158,18.5,99,11.6,137,16,27,3.2,6,0.7,5,0.6,18,2.1,174,20.4,134,15.7
Bradford 013A,E01010573,890,100,80,9,75,8.4,170,19.1,88,9.9,18,2,3,0.3,7,0.8,4,0.4,320,36,125,14
Bradford 013B,E01010574,595,100,29,4.9,66,11.1,101,17,51,8.6,19,3.2,1,0.2,3,0.5,2,0.3,245,41.2,78,13.1
Bradford 013C,E01010575,696,100,63,9.1,96,13.8,132,19,60,8.6,18,2.6,3,0.4,3,0.4,1,0.1,214,30.7,106,15.2
Bradford 013D,E01010577,744,100,73,9.8,68,9.1,131,17.6,70,9.4,11,1.5,3,0.4,4,0.5,5,0.7,295,39.7,84,11.3
Bradford 014A,E01010722,629,100,83,13.2,134,21.3,38,6,98,15.6,17,2.7,12,1.9,3,0.5,5,0.8,122,19.4,117,18.6
Bradford 014B,E01010860,903,100,48,5.3,158,17.5,95,10.5,147,16.3,27,3,7,0.8,5,0.6,3,0.3,274,30.3,139,15.4
Bradford 014C,E01010862,865,100,32,3.7,134,15.5,128,14.8,146,16.9,29,3.4,9,1,3,0.3,8,0.9,218,25.2,158,18.3
Bradford 014D,E01010863,714,100,35,4.9,125,17.5,81,11.3,112,15.7,29,4.1,7,1,6,0.8,4,0.6,203,28.4,112,15.7
Bradford 015A,E01010578,824,100,61,7.4,95,11.5,138,16.7,69,8.4,25,3,1,0.1,6,0.7,6,0.7,334,40.5,89,10.8
Bradford 015B,E01010581,828,100,72,8.7,73,8.8,169,20.4,89,10.7,19,2.3,2,0.2,5,0.6,3,0.4,297,35.9,99,12
Bradford 015C,E01010582,898,100,98,10.9,78,8.7,180,20,108,12,21,2.3,3,0.3,0,0,6,0.7,308,34.3,96,10.7
Bradford 015D,E01010584,883,100,87,9.9,83,9.4,177,20,109,12.3,21,2.4,4,0.5,4,0.5,9,1,268,30.4,121,13.7
Bradford 015E,E01010585,906,100,91,10,82,9.1,186,20.5,93,10.3,26,2.9,3,0.3,4,0.4,2,0.2,325,35.9,94,10.4
Bradford 016A,E01010568,801,100,76,9.5,94,11.7,128,16,88,11,22,2.7,0,0,0,0,5,0.6,285,35.6,103,12.9
Bradford 016B,E01010569,754,100,115,15.3,88,11.7,131,17.4,66,8.8,10,1.3,4,0.5,5,0.7,3,0.4,212,28.1,120,15.9
